Country,2018_Export,2017_Export,2018_Import,2017_Import,2018_Balance,2017_Balance,group
Laos,7542128,20563890,72463354,95434604,-64921226,-74870714,Other Asian
Faroe Islands,1131950,1907433,61685513,118605022,-60553563,-116697589,Others
Ghana,405461980,833182080,465784131,747536814,-60322151,85645266,Africa
Jordan,954272759,1858066359,998073417,1689247964,-43800658,168818395,Middle East 
Bosnia-Hercegov,24811869,26024104,61152201,84568108,-36340332,-58544004,Other Europe
Tunisia,316463303,502890915,351010156,457424153,-34546853,45466762,Africa
Nepal,20258673,63147549,53297674,91743639,-33039001,-28596090,Other Asian
Moldova,7303638,14753217,32755700,39237845,-25452062,-24484628,Other Europe
Malawi,9381208,25899587,29226710,64512186,-19845502,-38612599,Africa
Rwanda,19131777,64622351,37654556,43673225,-18522779,20949126,Africa
Zimbabwe,18471940,34844776,31749505,46946407,-13277565,-12101631,Africa
Armenia,24108985,45183966,37287378,65781162,-13178393,-20597196,Middle East 
Falkland Is,82854,355708,13007149,11728814,-12924295,-11373106,Latin america
Greenland,2490981,8480305,11850351,13216291,-9359370,-4735986,Others
St Helena,262985,389113,8071558,13456784,-7808573,-13067671,Others
San Marino,608046,1972933,7384597,4720708,-6776551,-2747775,Other Europe
Andorra,1555739,2656861,8289857,13540309,-6734118,-10883448,Other Europe
Uganda,39738448,101688718,44919438,81633441,-5180990,20055277,Africa
Albania,34376450,59041434,38362483,41560727,-3986033,17480707,Other Europe
Bolivia,247069219,487852780,250660884,566819156,-3591665,-78966376,Latin america
Reunion,4971407,7759347,7766801,14956018,-2795394,-7196671,Africa
Congo (DROC),34131263,73156926,36904717,87621828,-2773454,-14464902,Africa
Comoros,492246,1308444,2796166,5071103,-2303920,-3762659,Africa
West Bank,1587277,2044286,3547260,6266559,-1959983,-4222273,Others
Cocos Is,87803,273354,1558897,1263182,-1471094,-989828,Others
Belize,197228218,278467413,198337571,275957280,-1109353,2510133,Latin america
New Caledonia,36691697,57412753,37780886,64875877,-1089189,-7463124,Others
Nauru,391955,123591,1282500,1539616,-890545,-1416025,Australia and Oceania
Tokelau Is,360622,861554,1238590,2837580,-877968,-1976026,Others
Vatican City,108580,1108620,635794,1067591,-527214,41029,Other Europe
Norfolk Is,87941,138341,478013,283508,-390072,-145167,Others
Timor-Leste,756534,1911629,1008259,6691006,-251725,-4779377,Other Asian
Heard & McDn Is,66022,125829,90348,301806,-24326,-175977,Others
Pitcairn Is,204,1431,12504,39726,-12300,-38295,Others
Mayotte,230618,477035,198663,71977,31955,405058,Africa
St Pierre & Miq,128558,387974,3040,289194,125518,98780,Latin america
Gaza Strip,236533,555101,107770,78196,128763,476905,Others
Christmas Is,526540,382554,278425,1037834,248115,-655280,Others
Fr S & Ant land,440814,677491,8145,139727,432669,537764,Others
Tuvalu,825719,775706,96642,207880,729077,567826,Australia and Oceania
Sao Tome & Prin,1087838,3093016,305520,891633,782318,2201383,Africa
Niue,1084218,73874,272936,255900,811282,-182026,Others
Wallis & Futuna,860330,197576,3057,60619,857273,136957,Others
Guinea-Bissau,1072006,3469022,24146,19013,1047860,3450009,Africa
Bhutan,2135543,34666745,522394,1159825,1613149,33506920,Others
Burundi,8771170,7857528,6937491,9083346,1833679,-1225818,Africa
Kiribati,3251429,4827620,1271218,3688381,1980211,1139239,Australia and Oceania
Papua New Guin,40985976,101845950,38993060,113104769,1992916,-11258819,Australia and Oceania
"Svalbard,May Is",2210806,1903221,211694,21812,1999112,1881409,Others
Cen African Rep,3560955,7989121,1259721,2156139,2301234,5832982,Africa
Vanuatu,7361722,6700633,4772724,5362300,2588998,1338333,Australia and Oceania
Cook Is,3686215,4816678,653840,3436152,3032375,1380526,Others
Cape Verde,5116185,7324084,1826241,3329032,3289944,3995052,Africa
Seychelles,7874614,13956672,3619922,12639351,4254692,1317321,Africa
Br Indian O Ter,4623182,35405343,58424,8456639,4564758,26948704,Others
Turkmenistan,11304195,276433525,6334612,13816278,4969583,262617247,Middle East 
Sierra Leone,36981435,74227268,31941321,46189299,5040114,28037969,Africa
Cyprus,53583994,65301900,48459769,47270811,5124225,18031089,Other Europe
Kyrgyzstan,9992758,23817480,4298277,5780332,5694481,18037148,Middle East 
Tajikistan,6895778,17716480,1137384,1044944,5758394,16671536,Middle East 
Solomon Is,7931693,8518739,2089602,3371040,5842091,5147699,Australia and Oceania
Maldive Is,20795416,29920283,14110037,22045462,6685379,7874821,Other Asian
Eritrea,6867818,4895602,181112,266960,6686706,4628642,Africa
Montserrat Is,8038891,8407320,935431,1008878,7103460,7398442,Latin america
Kosovo,8852137,8790172,1470193,2679018,7381944,6111154,Other Europe
Niger,21465004,42181270,13879327,7777933,7585677,34403337,Africa
South Sudan,7986646,12082416,4627,279923,7982019,11802493,Africa
Tonga,10065566,16196245,1394357,3503915,8671209,12692330,Australia and Oceania
Palau,11031758,19074256,1112848,573544,9918910,18500712,Australia and Oceania
Samoa,15585334,36972898,3942198,4952251,11643136,32020647,Australia and Oceania
Montenegro,16869384,8114775,3422373,2582622,13447011,5532153,Other Europe
Swaziland,20491944,21660342,3846422,19580175,16645522,2080167,Africa
Mozambique,93255105,173870844,75566249,156543579,17688856,17327265,Africa
Monaco,52547018,23950865,31146837,88973851,21400181,-65022986,Other Europe
Gambia,22760089,38509794,264681,865452,22495408,37644342,Africa
Mali,27650010,54242954,2570214,2896045,25079796,51346909,Africa
F St Micronesia,26345654,43639294,394807,920780,25950847,42718514,Australia and Oceania
Burkina Faso,30107660,48479960,2706913,5053360,27400747,43426600,Africa
Syria,30895755,5071806,3258161,7032339,27637594,-1960533,Middle East 
Somalia,30841510,69163476,1096626,986868,29744884,68176608,Africa
Iran,92479211,129647998,60209782,63094316,32269429,66553682,Middle East 
Malta,144173191,234010484,111081206,163634229,33091985,70376255,Other Europe
Djibouti,61753813,146993513,26913491,34184354,34840322,112809159,Africa
Fr Polynesia,61385908,111803656,23293648,49206145,38092260,62597511,Others
Senegal,117972522,203462066,78066531,72005640,39905991,131456426,Africa
Sudan,49397641,68810001,9359821,13052356,40037820,55757645,Africa
St Vinc & Gren,45196857,76939380,2610224,4905348,42586633,72034032,Latin america
Liberia,88072111,135140673,37672063,91182988,50400048,43957685,Africa
Anguilla,55022119,55451869,3066571,4562085,51955548,50889784,Latin america
Mongolia,56867139,76111206,4875333,9458843,51991806,66652363,Other Asian
Mauritania,60521554,124409283,8350923,61454163,52170631,62955120,Africa
Croatia,321745893,438486017,265841906,434797401,55903987,3688616,Other Europe
Namibia,137269739,107471236,80123757,138496961,57145982,-31025725,Africa
Grenada Is,68095334,94154878,10364791,11986050,57730543,82168828,Latin america
Guyana,255533317,348306107,192517991,313495025,63015326,34811082,Latin america
St Kitts-Nevis,101907297,223806480,31809353,47536614,70097944,176269866,Latin america
Guinea,79729008,101010328,3322163,5947609,76406845,95062719,Africa
Chile,7428861305,12071584017,7346674622,10525267277,82186683,1546316740,Latin america
